strategy,selected_signals,entered_trades,skipped_signals,initial_capital,final_capital,total_return,cagr_approx,max_drawdown_event,win_rate_trades,mean_trade_return,median_trade_return,profit_factor,avg_news_risk_trades,avg_negative_ratio_trades,avg_news_count_trades,avg_allocation,avg_holding_days,period_start,period_end,delta_final_capital_vs_baseline,delta_total_return_vs_baseline,delta_drawdown_vs_baseline,delta_win_rate_vs_baseline,trade_reduction_vs_baseline
BASELINE_TECNICO_ALL,3260,332,2928,200000.0,255653.87595768177,0.2782693797884088,0.08550097103145271,-0.09313068008287018,0.4819277108433735,0.017459388621145145,-0.0023628202060842,1.476248157079102,0.3631199617021349,0.17247186809545406,11.070175438596491,10412.700897780729,63.984939759036145,2023-01-03,2025-12-31,0.0,0.0,0.0,0.0,0.0
RF_TOP_30_BASE,980,218,762,200000.0,395127.3009227718,0.9756365046138591,0.2557624904266804,-0.03178137941360093,0.6192660550458715,0.0695302791466622,0.0321973256396818,3.7372283631791436,0.3398456209493411,0.18589814759576867,9.568807339449542,12522.154918274637,76.53211009174312,2023-01-04,2025-12-31,139473.42496509003,0.6973671248254503,0.06134930066926925,0.13733834420249802,0.34337349397590367
RF_TOP_30_EXCLUDE_NEWS_EXTREME,889,213,676,200000.0,385503.28378466703,0.9275164189233351,0.2454479901047275,-0.031585754830668056,0.596244131455399,0.06862484914052872,0.0263500535475021,3.8138520237005156,0.30106134141686575,0.13193662372492246,9.633802816901408,12360.397518516631,75.01877934272301,2023-01-04,2025-12-31,129849.40782698526,0.6492470391349263,0.06154492525220212,0.11431642061202552,0.35843373493975905
RF_TOP_30_EXCLUDE_NEWS_HIGH_EXTREME,755,207,548,200000.0,387571.9294992897,0.9378596474964487,0.24767938966905656,-0.025046889937807904,0.5893719806763285,0.07067062560722048,0.0257154054861045,4.0041533427122635,0.26365574972929656,0.10447556041994138,8.265700483091788,12526.548708698107,76.14009661835749,2023-01-04,2025-12-31,131918.05354160795,0.6595902677080399,0.06808379014506227,0.10744426983295496,0.37650602409638556
RF_TOP_30_EXCLUDE_NEG_RATIO_50,913,215,698,200000.0,387334.7756456341,0.9366738782281705,0.24742398025049184,-0.031585754830668056,0.6,0.06880891205993839,0.0263554691863356,3.6800948130528783,0.3106984234482703,0.13668481597908036,9.841860465116278,12311.11463077824,75.05581395348837,2023-01-04,2025-12-31,131680.89968795233,0.6584044984397617,0.06154492525220212,0.11807228915662649,0.3524096385542169
RF_TOP_30_ONLY_LOW_MEDIUM_NEWS,755,207,548,200000.0,387571.9294992897,0.9378596474964487,0.24767938966905656,-0.025046889937807904,0.5893719806763285,0.07067062560722048,0.0257154054861045,4.0041533427122635,0.26365574972929656,0.10447556041994138,8.265700483091788,12526.548708698107,76.14009661835749,2023-01-04,2025-12-31,131918.05354160795,0.6595902677080399,0.06808379014506227,0.10744426983295496,0.37650602409638556
RF_NEWS_RISK_ADAPTIVE,870,207,663,200000.0,393289.76409719023,0.9664488204859512,0.2538061366338862,-0.02543289628687695,0.6183574879227053,0.07232080676518772,0.0356428253844416,4.058419345889375,0.2854330146215051,0.1277028360265225,8.782608695652174,12572.687256361327,76.64251207729468,2023-01-04,2025-12-31,137635.88813950846,0.6881794406975423,0.06769778379599323,0.1364297770793318,0.37650602409638556
