signal_year,fundamental_news_risk_bucket,n_signals,success_rate,mean_return,median_return
2023,EXTREME,24,0.5416666666666666,0.0093739323447397,0.00714383317068385
2023,HIGH,47,0.574468085106383,0.035368581847598786,0.0272815483476275
2023,LOW,135,0.6222222222222222,0.04342827850812913,0.0352656351969543
2023,MEDIUM,49,0.5102040816326531,0.01964786562345131,0.0011639658991638
2023,NO_NEWS,18,0.3888888888888889,-0.006829834890048259,-0.01446392695860535
2024,EXTREME,47,0.5957446808510638,0.037716031406338967,0.0297625233110756
2024,HIGH,47,0.574468085106383,0.023543602946068318,0.0141209098741923
2024,LOW,211,0.6540284360189573,0.05899452580428534,0.038016991980015
2024,MEDIUM,103,0.5922330097087378,0.021787192263456052,0.0206516252906355
2024,NO_NEWS,21,0.6666666666666666,0.03974484479024005,0.0204106517162256
2025,EXTREME,20,0.7,0.07016800233333179,0.07057470642028675
2025,HIGH,40,0.55,0.053842190052019234,0.02583229682590615
2025,LOW,110,0.6090909090909091,0.10625060050491739,0.03087202748186485
2025,MEDIUM,71,0.4647887323943662,0.01281905755847126,-0.00905639908378
2025,NO_NEWS,37,0.6216216216216216,0.13399174649865644,0.0617129897211916
