fundamental_news_risk_bucket,n_signals,success_rate,mean_return,median_return,p25_return,p75_return,avg_news_count,avg_negative_ratio,avg_news_risk_score
EXTREME,91,0.6043956043956044,0.0373734933960255,0.0297625233110756,-0.0423971522993956,0.093726232297974,8.901098901098901,0.6175017442874585,0.6942629936693023
HIGH,134,0.5671641791044776,0.036735524532709875,0.02214988779913445,-0.05068756334404745,0.10214968787860945,15.873134328358208,0.27509414236814395,0.5356575580610192
LOW,456,0.6337719298245614,0.06578558903254945,0.0347069566208823,-0.03722623344890755,0.11494835825395108,8.098684210526315,0.059116446506236514,0.2482233314800151
MEDIUM,223,0.5336322869955157,0.01846179060689035,0.0117618207009089,-0.0602841890982084,0.07761542261348295,14.417040358744394,0.1721285199732802,0.459542059398186
NO_NEWS,76,0.5789473684210527,0.0745973596450587,0.014577290352012301,-0.0743463707032227,0.11763700248552185,0.0,,0.005892857142857142
