date,strategy,equity
2023-01-03,BASELINE_TECNICO_ALL,200000.0
2023-01-04,BASELINE_TECNICO_ALL,200000.0
2023-01-05,BASELINE_TECNICO_ALL,199581.7835630609
2023-01-06,BASELINE_TECNICO_ALL,199581.7835630609
2023-01-07,BASELINE_TECNICO_ALL,199581.7835630609
2023-01-08,BASELINE_TECNICO_ALL,199581.7835630609
2023-01-09,BASELINE_TECNICO_ALL,199581.7835630609
2023-01-10,BASELINE_TECNICO_ALL,199581.7835630609
2023-01-11,BASELINE_TECNICO_ALL,199581.7835630609
2023-01-12,BASELINE_TECNICO_ALL,199581.7835630609
2023-01-13,BASELINE_TECNICO_ALL,199581.7835630609
2023-01-14,BASELINE_TECNICO_ALL,199581.7835630609
2023-01-15,BASELINE_TECNICO_ALL,199581.7835630609
2023-01-16,BASELINE_TECNICO_ALL,199581.7835630609
2023-01-17,BASELINE_TECNICO_ALL,199581.7835630609
2023-01-18,BASELINE_TECNICO_ALL,199581.7835630609
2023-01-19,BASELINE_TECNICO_ALL,199581.7835630609
2023-01-20,BASELINE_TECNICO_ALL,199581.7835630609
2023-01-21,BASELINE_TECNICO_ALL,199581.7835630609
2023-01-22,BASELINE_TECNICO_ALL,199581.7835630609
2023-01-23,BASELINE_TECNICO_ALL,199581.7835630609
2023-01-24,BASELINE_TECNICO_ALL,199581.7835630609
2023-01-25,BASELINE_TECNICO_ALL,199581.7835630609
2023-01-26,BASELINE_TECNICO_ALL,199581.7835630609
2023-01-27,BASELINE_TECNICO_ALL,199581.7835630609
2023-01-28,BASELINE_TECNICO_ALL,199581.7835630609
2023-01-29,BASELINE_TECNICO_ALL,199581.7835630609
2023-01-30,BASELINE_TECNICO_ALL,199581.7835630609
2023-01-31,BASELINE_TECNICO_ALL,199581.7835630609
2023-02-01,BASELINE_TECNICO_ALL,199581.7835630609
2023-02-02,BASELINE_TECNICO_ALL,199581.7835630609
2023-02-03,BASELINE_TECNICO_ALL,199581.7835630609
2023-02-04,BASELINE_TECNICO_ALL,199581.7835630609
2023-02-05,BASELINE_TECNICO_ALL,199581.7835630609
2023-02-06,BASELINE_TECNICO_ALL,199581.7835630609
2023-02-07,BASELINE_TECNICO_ALL,199581.7835630609
2023-02-08,BASELINE_TECNICO_ALL,199581.7835630609
2023-02-09,BASELINE_TECNICO_ALL,199581.7835630609
2023-02-10,BASELINE_TECNICO_ALL,199581.7835630609
2023-02-11,BASELINE_TECNICO_ALL,199581.7835630609
2023-02-12,BASELINE_TECNICO_ALL,199581.7835630609
2023-02-13,BASELINE_TECNICO_ALL,199302.03074933653
2023-02-14,BASELINE_TECNICO_ALL,199165.06381213508
2023-02-15,BASELINE_TECNICO_ALL,199369.4666056268
2023-02-16,BASELINE_TECNICO_ALL,199146.60141976734
2023-02-17,BASELINE_TECNICO_ALL,199146.60141976734
2023-02-18,BASELINE_TECNICO_ALL,199146.60141976734
2023-02-19,BASELINE_TECNICO_ALL,199146.60141976734
2023-02-20,BASELINE_TECNICO_ALL,199146.60141976734
2023-02-21,BASELINE_TECNICO_ALL,198180.80408785795
2023-02-22,BASELINE_TECNICO_ALL,198180.80408785795
2023-02-23,BASELINE_TECNICO_ALL,198180.80408785795
2023-02-24,BASELINE_TECNICO_ALL,198180.80408785795
2023-02-25,BASELINE_TECNICO_ALL,198180.80408785795
2023-02-26,BASELINE_TECNICO_ALL,198180.80408785795
2023-02-27,BASELINE_TECNICO_ALL,197787.1096340335
2023-02-28,BASELINE_TECNICO_ALL,197787.1096340335
2023-03-01,BASELINE_TECNICO_ALL,197010.52107896682
2023-03-02,BASELINE_TECNICO_ALL,197010.52107896682
2023-03-03,BASELINE_TECNICO_ALL,197010.52107896682
2023-03-04,BASELINE_TECNICO_ALL,197010.52107896682
2023-03-05,BASELINE_TECNICO_ALL,197010.52107896682
2023-03-06,BASELINE_TECNICO_ALL,197010.52107896682
2023-03-07,BASELINE_TECNICO_ALL,196649.47292989105
2023-03-08,BASELINE_TECNICO_ALL,196411.59708684674
2023-03-09,BASELINE_TECNICO_ALL,194685.62877009262
2023-03-10,BASELINE_TECNICO_ALL,194169.21463235957
2023-03-11,BASELINE_TECNICO_ALL,194169.21463235957
2023-03-12,BASELINE_TECNICO_ALL,194169.21463235957
2023-03-13,BASELINE_TECNICO_ALL,191795.29277211294
2023-03-14,BASELINE_TECNICO_ALL,191795.29277211294
2023-03-15,BASELINE_TECNICO_ALL,189863.95454802585
2023-03-16,BASELINE_TECNICO_ALL,189863.95454802585
2023-03-17,BASELINE_TECNICO_ALL,197033.23874393306
2023-03-18,BASELINE_TECNICO_ALL,197033.23874393306
2023-03-19,BASELINE_TECNICO_ALL,197033.23874393306
2023-03-20,BASELINE_TECNICO_ALL,189863.9545480259
2023-03-21,BASELINE_TECNICO_ALL,189863.95454802594
2023-03-22,BASELINE_TECNICO_ALL,189863.95454802594
2023-03-23,BASELINE_TECNICO_ALL,189863.95454802594
2023-03-24,BASELINE_TECNICO_ALL,189863.95454802594
2023-03-25,BASELINE_TECNICO_ALL,189863.95454802594
2023-03-26,BASELINE_TECNICO_ALL,189863.95454802594
2023-03-27,BASELINE_TECNICO_ALL,189863.95454802594
2023-03-28,BASELINE_TECNICO_ALL,189658.3027566192
2023-03-29,BASELINE_TECNICO_ALL,189658.3027566192
2023-03-30,BASELINE_TECNICO_ALL,189658.3027566192
2023-03-31,BASELINE_TECNICO_ALL,189658.3027566192
2023-04-01,BASELINE_TECNICO_ALL,189658.3027566192
2023-04-02,BASELINE_TECNICO_ALL,189658.3027566192
2023-04-03,BASELINE_TECNICO_ALL,189658.3027566192
2023-04-04,BASELINE_TECNICO_ALL,189658.3027566192
2023-04-05,BASELINE_TECNICO_ALL,189658.3027566192
2023-04-06,BASELINE_TECNICO_ALL,189658.3027566192
2023-04-07,BASELINE_TECNICO_ALL,189658.3027566192
2023-04-08,BASELINE_TECNICO_ALL,189658.3027566192
2023-04-09,BASELINE_TECNICO_ALL,189658.3027566192
2023-04-10,BASELINE_TECNICO_ALL,189658.3027566192
2023-04-11,BASELINE_TECNICO_ALL,189658.3027566192
2023-04-12,BASELINE_TECNICO_ALL,189658.3027566192
2023-04-13,BASELINE_TECNICO_ALL,189658.3027566192
2023-04-14,BASELINE_TECNICO_ALL,188318.21449477458
2023-04-15,BASELINE_TECNICO_ALL,188318.21449477458
2023-04-16,BASELINE_TECNICO_ALL,188318.21449477458
2023-04-17,BASELINE_TECNICO_ALL,188318.21449477458
2023-04-18,BASELINE_TECNICO_ALL,188318.21449477458
2023-04-19,BASELINE_TECNICO_ALL,188318.21449477458
2023-04-20,BASELINE_TECNICO_ALL,188318.21449477458
2023-04-21,BASELINE_TECNICO_ALL,188336.6374312772
2023-04-22,BASELINE_TECNICO_ALL,188336.6374312772
2023-04-23,BASELINE_TECNICO_ALL,188336.6374312772
