signal_year,signals,success_rate,avg_ret_combo,median_ret_combo,success_rate_pct,avg_ret_combo_pct,median_ret_combo_pct
2018,741,0.38461538461538464,-0.010674941878721946,-0.0246677361407602,38.46,-1.07,-2.47
2019,1158,0.538860103626943,0.013166793500612138,0.00869583899813175,53.89,1.32,0.87
2020,1189,0.5021026072329688,0.020519268609884116,0.0010801482689365,50.21,2.05,0.11
2021,1335,0.5415730337078651,0.021879592919380682,0.0088781925486414,54.16,2.19,0.89
2022,472,0.326271186440678,-0.022845392419519554,-0.0321549248346568,32.63,-2.28,-3.22
2023,907,0.45093715545755236,0.008370303518951546,-0.0128650839032928,45.09,0.84,-1.29
2024,1429,0.5808257522743177,0.029428245470887807,0.0165764175856351,58.08,2.94,1.66
2025,924,0.49134199134199136,0.026837953529961777,-0.0024169809754498502,49.13,2.68,-0.24
