entry_date,daily_mean_return,n_signals,equity_proxy,drawdown_proxy,strategy
2023-01-03,0.0230119358975363,1,1.0230119358975363,0.0,BASELINE_TECNICO_ALL
2023-01-04,0.017652566810178377,18,1.0410707224435773,0.0,BASELINE_TECNICO_ALL
2023-01-06,-0.01557779223136555,6,1.0248531390311937,-0.015577792231365573,BASELINE_TECNICO_ALL
2023-01-09,0.0721863775072934,1,1.0988335746148339,0.0,BASELINE_TECNICO_ALL
2023-01-10,0.027658833112289956,16,1.1292260290732867,0.0,BASELINE_TECNICO_ALL
2023-01-11,-0.029477022845252023,14,1.0959398076168403,-0.029477022845252,BASELINE_TECNICO_ALL
2023-01-12,-0.01741513454333235,2,1.0768538684157993,-0.046378811069797354,BASELINE_TECNICO_ALL
2023-01-13,-0.00220711753866955,12,1.0744771253562346,-0.048483565121132055,BASELINE_TECNICO_ALL
2023-01-17,-0.03941859751174043,7,1.0321227440162453,-0.08599100849342844,BASELINE_TECNICO_ALL
2023-01-18,0.002740064173835701,3,1.0349508265701253,-0.08348656520123754,BASELINE_TECNICO_ALL
2023-01-19,-0.002240615970413626,4,1.0326318992195196,-0.08554011984034615,BASELINE_TECNICO_ALL
2023-01-20,0.061305280601069496,7,1.0959376875587874,-0.02947890028873834,BASELINE_TECNICO_ALL
2023-01-25,-0.02630818976580983,12,1.067105550902988,-0.05501155355166454,BASELINE_TECNICO_ALL
2023-01-26,-0.0240732456653867,1,1.0414168568252027,-0.07776049257396744,BASELINE_TECNICO_ALL
2023-01-27,-0.03372571689367112,10,1.006294326743619,-0.10886368110957656,BASELINE_TECNICO_ALL
2023-01-30,0.007070537048706149,2,1.0134093680627625,-0.1025628687514143,BASELINE_TECNICO_ALL
2023-01-31,-0.03266306715885781,33,0.9803083098143128,-0.13187591804023957,BASELINE_TECNICO_ALL
2023-02-01,0.09172448893182537,5,1.0702265885276523,-0.052247680293070364,BASELINE_TECNICO_ALL
2023-02-02,-0.1077102110269473,1,0.954952256830689,-0.1543302826499826,BASELINE_TECNICO_ALL
2023-02-03,-0.05100007298904457,6,0.906249622031271,-0.1974594999594581,BASELINE_TECNICO_ALL
2023-02-07,-0.0077936339251181595,5,0.8991866442323826,-0.20371420682685537,BASELINE_TECNICO_ALL
2023-02-08,-0.1058574686245727,1,0.8040010222529184,-0.28800700519387445,BASELINE_TECNICO_ALL
2023-02-10,-0.1074822089095701,1,0.7175852164156223,-0.36453358500377686,BASELINE_TECNICO_ALL
2023-02-13,-0.021192255571293447,4,0.7023779671151605,-0.37800055167735047,BASELINE_TECNICO_ALL
2023-02-15,-0.07794918075123655,5,0.6476281800008148,-0.4264848991018221,BASELINE_TECNICO_ALL
2023-02-17,-0.07376152291074657,3,0.5998581391640396,-0.46878824635638217,BASELINE_TECNICO_ALL
2023-02-21,-0.0405750909257157,1,0.5755188406249281,-0.4903422115612809,BASELINE_TECNICO_ALL
2023-02-22,-0.0282506071072093,1,0.5592600839756366,-0.5047403535015923,BASELINE_TECNICO_ALL
2023-02-23,-0.1597812700281941,1,0.4699007974819349,-0.5838735688128224,BASELINE_TECNICO_ALL
2023-02-27,-0.135508149578017,1,0.4062254099299234,-0.6402620914935009,BASELINE_TECNICO_ALL
2023-02-28,0.03651521072835302,6,0.42105881637672615,-0.6271261859574091,BASELINE_TECNICO_ALL
2023-03-01,-0.058846223385572584,5,0.3962810952097566,-0.6490684017131898,BASELINE_TECNICO_ALL
2023-03-02,0.09442774369298425,2,0.4337010248985986,-0.6159307226963935,BASELINE_TECNICO_ALL
2023-03-07,-0.11251496753449663,3,0.38490316816245485,-0.6591442649632064,BASELINE_TECNICO_ALL
2023-03-08,0.05338193145971735,7,0.40545004270393104,-0.6409487274778207,BASELINE_TECNICO_ALL
2023-03-20,-0.0005475389930492045,5,0.40522804299581716,-0.6411453220500305,BASELINE_TECNICO_ALL
2023-03-21,0.1938683935493485,4,0.4837889527125626,-0.5715747421182011,BASELINE_TECNICO_ALL
2023-03-23,0.012200673945671179,10,0.4896915039831264,-0.5663476652366951,BASELINE_TECNICO_ALL
2023-03-30,0.1706691707026092,1,0.57326674686804,-0.4923365808893916,BASELINE_TECNICO_ALL
2023-03-31,0.1583482772595331,3,0.664042548644771,-0.41194895304554247,BASELINE_TECNICO_ALL
2023-04-04,0.0322548388448483,1,0.6854611340374304,-0.3929814612934821,BASELINE_TECNICO_ALL
2023-04-05,0.058653195081316,2,0.7256656196527879,-0.3573778845247534,BASELINE_TECNICO_ALL
2023-04-06,0.1274550333754827,1,0.8181553554250742,-0.2754724613490326,BASELINE_TECNICO_ALL
2023-04-12,-0.04286426309674335,2,0.7830857290161243,-0.3065288003866036,BASELINE_TECNICO_ALL
2023-04-13,-0.02048815961379915,2,0.7670417436087537,-0.32073674901185556,BASELINE_TECNICO_ALL
2023-04-14,0.3280734041764286,2,1.0186877395799008,-0.09788854192822727,BASELINE_TECNICO_ALL
2023-04-17,-0.012556855081829806,4,1.0058962252603592,-0.10921622477489268,BASELINE_TECNICO_ALL
2023-04-18,-0.02433267222420185,6,0.9814200821195369,-0.13089137440008236,BASELINE_TECNICO_ALL
2023-04-19,-0.04771507445332657,3,0.9345915498312133,-0.17236095717861077,BASELINE_TECNICO_ALL
2023-04-20,0.0239587682281345,1,0.9569832121615924,-0.15253174517509793,BASELINE_TECNICO_ALL
2023-04-21,0.03502408005576586,3,0.9905006687963641,-0.12284994917339032,BASELINE_TECNICO_ALL
2023-04-24,-0.017880313949651182,6,0.9727902058709457,-0.13853366746312257,BASELINE_TECNICO_ALL
2023-04-25,-0.0230350383472878,2,0.9503819461748424,-0.15837757746800696,BASELINE_TECNICO_ALL
2023-04-27,0.05416800383466001,5,1.0018622390796328,-0.11278857085695815,BASELINE_TECNICO_ALL
2023-05-01,0.022476766283732103,2,1.0243808624759223,-0.09284692691985408,BASELINE_TECNICO_ALL
2023-05-02,0.03875803238948284,7,1.0640838491229305,-0.05768745873119485,BASELINE_TECNICO_ALL
2023-05-03,0.15430297379213795,5,1.2282751514067833,0.0,BASELINE_TECNICO_ALL
2023-05-04,-0.05377048229841935,2,1.1622302041204766,-0.0537704822984193,BASELINE_TECNICO_ALL
2023-05-05,-0.02667993104968197,3,1.1312219824106846,-0.07901582058787116,BASELINE_TECNICO_ALL
2023-05-10,0.13945780639443905,8,1.2889797186228473,0.0,BASELINE_TECNICO_ALL
2023-05-11,-0.029419297296634565,3,1.2510588410713492,-0.029419297296634728,BASELINE_TECNICO_ALL
2023-05-12,-0.0032666552163872673,3,1.2469720631821561,-0.03258984981204549,BASELINE_TECNICO_ALL
2023-05-15,0.29728904103779646,2,1.6176831920465018,0.0,BASELINE_TECNICO_ALL
2023-05-16,0.07644153024160799,4,1.7413413706926653,0.0,BASELINE_TECNICO_ALL
2023-05-17,0.1503969451367731,6,2.003233793285123,0.0,BASELINE_TECNICO_ALL
2023-05-18,0.03164385134769018,6,2.0666238256545073,0.0,BASELINE_TECNICO_ALL
2023-05-22,0.02320343342618648,5,2.1145765940100527,0.0,BASELINE_TECNICO_ALL
2023-05-24,0.07913461656763053,3,2.2819128019799244,0.0,BASELINE_TECNICO_ALL
2023-05-25,0.06315891010658226,2,2.4260359275112333,0.0,BASELINE_TECNICO_ALL
2023-05-26,0.1027897691850433,1,2.675407600534735,0.0,BASELINE_TECNICO_ALL
2023-05-30,0.023783785743018027,3,2.7390389216810953,0.0,BASELINE_TECNICO_ALL
2023-05-31,0.030252617893396352,2,2.821902019573854,0.0,BASELINE_TECNICO_ALL
2023-06-01,0.0880377871413314,8,3.07033602890679,0.0,BASELINE_TECNICO_ALL
