model,feature,importance
XGBoost,num__feat_stoch_k_minus_d_entry,0.02006862002114455
XGBoost,num__feat_stoch_d_entry,0.01970112882554531
XGBoost,cat__feat_entry_family_v4_kumo_actual_y_futuro_alcista_tk_maduro,0.01898672493795554
XGBoost,num__feat_kumo_actual_thickness_pct_daily,0.018584134057164192
XGBoost,num__feat_senkou_a_minus_b_pct,0.01854833650092284
XGBoost,cat__feat_tk_confirmation_status_tk_mature_above_kijun_no_recent_cross,0.0177994513263305
XGBoost,num__feat_stoch_k_minus_d_daily,0.01753522331515948
XGBoost,num__feat_tk_cross_up_today,0.014123459036151568
XGBoost,num__feat_tenkan_sobre_kijun,0.013988650714357695
XGBoost,num__feat_tk_cross_up_recent,0.012772871802250544
XGBoost,cat__feat_chikou_diagnostic_status_chikou_no_confirmado_o_sin_historia,0.01161824818700552
XGBoost,cat__feat_chikou_diagnostic_status_chikou_libre_sobre_precio_y_kumo_22ago,0.00921640545129776
XGBoost,cat__feat_tk_confirmation_status_tk_cross_up_recent,0.0045543160910407705
XGBoost,cat__feat_chikou_diagnostic_status_chikou_parcial_sobre_close_22ago,0.0035168351605534554
XGBoost,cat__feat_entry_family_v4_kumo_actual_y_futuro_alcista_con_tk_cross,0.0
XGBoost,cat__feat_entry_family_v4_kumo_actual_y_futuro_alcista_sin_tk_confirmado,0.0
XGBoost,cat__feat_tk_confirmation_status_no_tk_confirmation_yet,0.0
XGBoost,num__feat_chikou_above_kumo_22ago,0.0
XGBoost,num__feat_stoch_not_extreme_overbought,0.0
