fold,model,feature,importance
1,XGBoost,num__feat_stoch_k_minus_d_daily,0.020082244649529457
1,XGBoost,num__feat_senkou_a_minus_b_pct,0.01710188016295433
1,XGBoost,num__feat_regime_breadth_precio_sobre_kumo,0.03894411399960518
1,XGBoost,num__feat_regime_breadth_kumo_actual_alcista,0.03799842670559883
1,XGBoost,num__feat_regime_breadth_kumo_futuro_alcista,0.03604450449347496
1,XGBoost,num__feat_regime_breadth_ha2_bullish,0.022499926388263702
1,XGBoost,num__feat_regime_breadth_tenkan_sobre_kijun,0.031137442216277122
1,XGBoost,num__feat_regime_breadth_chikou_sobre_kumo,0.034182190895080566
1,XGBoost,num__feat_regime_breadth_entry_events,0.03196448087692261
1,XGBoost,num__feat_regime_market_ret_5d_mean,0.029393836855888367
1,XGBoost,num__feat_regime_market_ret_20d_mean,0.03210708871483803
1,XGBoost,num__feat_regime_market_vol_20d_mean,0.07052743434906006
1,XGBoost,num__feat_regime_market_volume_rel_mean,0.026621736586093903
1,XGBoost,cat__feat_entry_family_v4_kumo_actual_y_futuro_alcista_con_tk_cross,0.0
1,XGBoost,cat__feat_entry_family_v4_kumo_actual_y_futuro_alcista_sin_tk_confirmado,0.0
1,XGBoost,cat__feat_entry_family_v4_kumo_actual_y_futuro_alcista_tk_maduro,0.020242840051651
1,XGBoost,cat__feat_tk_confirmation_status_no_tk_confirmation_yet,0.0
1,XGBoost,cat__feat_tk_confirmation_status_tk_cross_up_recent,0.0
1,XGBoost,cat__feat_tk_confirmation_status_tk_mature_above_kijun_no_recent_cross,0.0
1,XGBoost,cat__feat_chikou_diagnostic_status_chikou_libre_sobre_precio_y_kumo_22ago,0.0
1,XGBoost,cat__feat_chikou_diagnostic_status_chikou_no_confirmado_o_sin_historia,0.0
1,XGBoost,cat__feat_chikou_diagnostic_status_chikou_parcial_sobre_close_22ago,0.0
2,RandomForest,num__feat_technical_priority_score,0.002552877285353927
2,RandomForest,num__feat_kumo_actual_thickness_pct_signal,0.013348345727840867
2,RandomForest,num__feat_volume_rel_signal,0.010467934837944665
2,RandomForest,num__feat_stoch_k_entry,0.015617231312964736
