model,accuracy,precision,recall,f1,roc_auc,pr_auc,brier_score
XGBoost,0.510260693466812,0.5087161198637417,0.995925020374898,0.6719276225109407,0.5171834283869825,0.5274114847114312,0.25787569050267917
RandomForest,0.5091446344676219,0.5083048153320897,0.9975550122249389,0.6718433342298759,0.5733704011788497,0.5695500172109428,0.24729484841628313
LogisticRegression,0.5266712439466071,0.4941363804796109,0.7383863080684597,0.5588732154725543,0.5273274038134578,0.530147503327615,0.25143237224822246
Dummy_most_frequent,0.45958980394708115,0.15031238515251746,0.3333333333333333,0.207193515704154,0.5,0.5077016330246205,0.5404101960529188
