model,hyperparameter,value
Dummy_most_frequent,strategy,most_frequent
LogisticRegression,class_weight,balanced
LogisticRegression,max_iter,2000
RandomForest,class_weight,balanced
RandomForest,max_depth,5
RandomForest,min_samples_leaf,20
RandomForest,n_estimators,300
XGBoost,colsample_bytree,0.8
XGBoost,learning_rate,0.05
XGBoost,max_depth,3
XGBoost,min_child_weight,3
XGBoost,n_estimators,300
XGBoost,reg_lambda,5.0
XGBoost,subsample,0.8
