model,precision_top_10pct,precision_top_20pct,mean_ret_combo_top_10pct,mean_ret_combo_top_20pct
RandomForest,0.6128924838602258,0.5926487926487927,0.06728884413191576,0.05403660203629516
XGBoost,0.5536792956147795,0.5264051264051264,0.03935939995633011,0.02809922327853705
LogisticRegression,0.5446274155951575,0.5196146196146195,0.051136083698355074,0.038419319606918405
Dummy_most_frequent,0.46443520637069025,0.4544950544950545,0.013228859377500873,0.011010930712820133
