model,tn,fp,fn,tp,total,accuracy_from_cm,precision_from_cm,recall_from_cm
Dummy_most_frequent,1069,498,1284,409,3260,0.45337423312883435,0.45093715545755236,0.24158298877731837
LogisticRegression,373,1194,321,1372,3260,0.5352760736196319,0.534684333593141,0.8103957471943296
RandomForest,7,1560,3,1690,3260,0.5205521472392638,0.52,0.9982279976373302
XGBoost,12,1555,5,1688,3260,0.5214723926380368,0.5205057045945113,0.9970466627288836
