excluded_constant_features
feat_row_operational_ok
feat_liquidity_ok
feat_precio_sobre_kumo_actual
feat_precio_dentro_kumo_actual
feat_precio_bajo_kumo_actual
feat_kumo_actual_alcista
feat_kumo_futuro_alcista
feat_kumo_alcista_requerido
feat_ha_bullish
feat_ha_bullish_prev1
feat_ha2_bullish
feat_ha2_bullish_sobre_kumo
feat_stoch_cross_up_from_below
feat_entry_condition_base
feat_entry_event_new_condition
feat_entry_event_after_cooldown
