top_fraction,n_selected,precision_top,mean_return_top,median_return_top,base_precision_all_test,base_mean_return_all_test,precision_lift_vs_all,return_delta_vs_all,fold,model,test_year
0.1,91,0.27472527472527475,-0.031512365214796764,-0.0471796845243855,0.45093715545755236,0.008370303518951546,0.6092318439506704,-0.03988266873374831,1,Dummy,2023
0.2,182,0.2692307692307692,-0.02992466575206437,-0.03897572052073285,0.45093715545755236,0.008370303518951546,0.5970472070716569,-0.038294969271015916,1,Dummy,2023
0.3,273,0.326007326007326,-0.018569522521334116,-0.0376148974236019,0.45093715545755236,0.008370303518951546,0.7229551214881289,-0.026939826040285664,1,Dummy,2023
0.1,91,0.38461538461538464,-0.011782700782898198,-0.0296282101908897,0.45093715545755236,0.008370303518951546,0.8529245815309385,-0.020153004301849742,1,LogisticRegression,2023
0.2,182,0.3956043956043956,-0.004215558841016014,-0.0291757512279609,0.45093715545755236,0.008370303518951546,0.8772938552889653,-0.012585862359967559,1,LogisticRegression,2023
0.3,273,0.4249084249084249,-0.000992796629875595,-0.0257519536303032,0.45093715545755236,0.008370303518951546,0.9422785853103701,-0.00936310014882714,1,LogisticRegression,2023
0.1,91,0.6923076923076923,0.05705076995382483,0.0634117923860307,0.45093715545755236,0.008370303518951546,1.5352642467556892,0.04868046643487329,1,RandomForest,2023
0.2,182,0.5879120879120879,0.04053247710035599,0.02815760577614445,0.45093715545755236,0.008370303518951546,1.3037561460544347,0.03216217358140445,1,RandomForest,2023
0.3,273,0.5714285714285714,0.03146492201185559,0.0189415711944895,0.45093715545755236,0.008370303518951546,1.2672022354173942,0.023094618492904048,1,RandomForest,2023
0.1,91,0.4725274725274725,0.0167018365995915,-0.0174736759776157,0.45093715545755236,0.008370303518951546,1.047878771595153,0.008331533080639953,1,XGBoost,2023
0.2,182,0.46703296703296704,0.015049430502039447,-0.0087763293858856,0.45093715545755236,0.008370303518951546,1.0356941347161397,0.0066791269830879015,1,XGBoost,2023
0.3,273,0.47619047619047616,0.015286965534967457,-0.0048368732946765,0.45093715545755236,0.008370303518951546,1.0560018628478285,0.006916662016015911,1,XGBoost,2023
0.1,143,0.5594405594405595,0.01636598045030283,0.0137764896284877,0.5808257522743177,0.029428245470887807,0.9631813969163369,-0.013062265020584978,2,Dummy,2024
0.2,286,0.5699300699300699,0.0146855670651156,0.01444320041628655,0.5808257522743177,0.029428245470887807,0.981241048108518,-0.014742678405772206,2,Dummy,2024
0.3,429,0.5641025641025641,0.016104005745512812,0.0137764896284877,0.5808257522743177,0.029428245470887807,0.9712079085573062,-0.013324239725374994,2,Dummy,2024
0.1,143,0.6363636363636364,0.039644160308847966,0.0328902965247651,0.5808257522743177,0.029428245470887814,1.0956188389923331,0.010215914837960152,2,LogisticRegression,2024
0.2,286,0.6153846153846154,0.03885425249961489,0.0272375613278161,0.5808257522743177,0.029428245470887814,1.0594995366079705,0.009426007028727076,2,LogisticRegression,2024
0.3,429,0.6503496503496503,0.039712832175233415,0.0313488277844349,0.5808257522743177,0.029428245470887814,1.1196983739152415,0.010284586704345601,2,LogisticRegression,2024
