model,threshold_strategy,accuracy,precision,recall,f1,roc_auc,pr_auc,brier,predicted_positive_rate,tn,fp,fn,tp
Dummy,fixed_0_50,0.45958980394708115,0.15031238515251746,0.3333333333333333,0.207193515704154,0.5,0.5077016330246205,0.5404101960529188,0.3333333333333333,1069,498,1284,409
Dummy,optimized_f1_on_validation,0.45958980394708115,0.15031238515251746,0.3333333333333333,0.207193515704154,0.5,0.5077016330246205,0.5404101960529188,0.3333333333333333,1069,498,1284,409
LogisticRegression,fixed_0_50,0.5268509259345636,0.5250504636713068,0.5099853892482568,0.5154709082171663,0.5272323502898542,0.529890138413201,0.2514575352757969,0.4896953352269018,839,728,808,885
LogisticRegression,optimized_f1_on_validation,0.528508803667298,0.5026120436793451,0.7583595997682662,0.5773837396073368,0.5272323502898542,0.529890138413201,0.2514575352757969,0.7611592317188632,354,1213,297,1396
RandomForest,fixed_0_50,0.5433728879253656,0.5389394032387488,0.768981287968673,0.6280438443921783,0.5763323119392365,0.5761440400978864,0.24714523396413046,0.7246772690097796,502,1065,408,1285
RandomForest,optimized_f1_on_validation,0.5106146822441746,0.5089393265414432,0.9967400162999184,0.6722827728723774,0.5763323119392365,0.5761440400978864,0.24714523396413046,0.9941468552273404,12,1555,4,1689
XGBoost,fixed_0_50,0.5259049644700322,0.531525586765006,0.5906074412359216,0.5512570437582128,0.5342013585160051,0.541389948419826,0.25239554915782086,0.5628095134766287,728,839,696,997
XGBoost,optimized_f1_on_validation,0.5069733707197319,0.5072425054203108,0.9968207978343369,0.6707216723543037,0.5342013585160051,0.541389948419826,0.25239554915782086,0.9978016899185587,2,1565,4,1689
