score_decile,n,success_rate,mean_return,median_return,score_min,score_max,fold,model,test_year
1,91,0.27472527472527475,-0.03151236521479676,-0.0471796845243855,1.0,1.0,1,Dummy,2023
2,91,0.26373626373626374,-0.028336966289331984,-0.0309960907787417,1.0,1.0,1,Dummy,2023
3,90,0.4444444444444444,0.004241149602712778,-0.02979035784841085,1.0,1.0,1,Dummy,2023
4,91,0.6263736263736264,0.04535441154016747,0.0302039531906748,1.0,1.0,1,Dummy,2023
5,91,0.4725274725274725,0.012860142227837356,-0.0054480632958563,1.0,1.0,1,Dummy,2023
6,90,0.34444444444444444,-0.005359803454447699,-0.045963874099044,1.0,1.0,1,Dummy,2023
7,91,0.4175824175824176,-0.003864009936173141,-0.0179864672065587,1.0,1.0,1,Dummy,2023
8,90,0.5111111111111111,0.011947625908675106,0.0013949231213514,1.0,1.0,1,Dummy,2023
9,91,0.5824175824175825,0.025887702679180478,0.018333169477429,1.0,1.0,1,Dummy,2023
10,91,0.5714285714285714,0.052328203746571926,0.0345434873856022,1.0,1.0,1,Dummy,2023
1,91,0.38461538461538464,-0.011782700782898194,-0.0296282101908897,0.5694360862581657,0.6957884282825479,1,LogisticRegression,2023
2,91,0.4065934065934066,0.0033515831008661696,-0.0280741794514871,0.5383068572654965,0.5690417161250055,1,LogisticRegression,2023
3,90,0.4777777777777778,0.004935699844865216,-0.0067390583519900005,0.5167579623378388,0.5380948609968331,1,LogisticRegression,2023
4,91,0.3956043956043956,0.0010724733683099296,-0.0208609110628418,0.4989154777993218,0.5162916792086037,1,LogisticRegression,2023
5,91,0.46153846153846156,0.016689657802619134,-0.0116469255133446,0.4818720713648731,0.4985776943337067,1,LogisticRegression,2023
6,90,0.5111111111111111,0.014130832276725624,0.00088195125913995,0.4634915169264934,0.4818612912368378,1,LogisticRegression,2023
7,91,0.4945054945054945,0.007397131789233861,-0.002227155458286,0.4455641198207988,0.4633232619214825,1,LogisticRegression,2023
8,90,0.45555555555555555,0.018481865172047345,-0.01004536233551145,0.4268815777810844,0.44554356126025424,1,LogisticRegression,2023
9,91,0.5164835164835165,0.01457080672583679,0.0011485869436927,0.3977542058207734,0.4267103703753605,1,LogisticRegression,2023
10,91,0.4065934065934066,0.014992361570335778,-0.0182977715431139,0.13140026194218368,0.3975970545784399,1,LogisticRegression,2023
1,91,0.6923076923076923,0.05705076995382484,0.0634117923860307,0.5892483623386462,0.6549018924795413,1,RandomForest,2023
2,91,0.4835164835164835,0.024014184246887154,-0.0076665893028747,0.5717149247106437,0.5884630214431033,1,RandomForest,2023
3,90,0.5444444444444444,0.013520237952947853,0.0059470807271184995,0.5604100988210516,0.5715475652488802,1,RandomForest,2023
4,91,0.43956043956043955,0.0215157946319322,-0.0077986835963551,0.5508330263743317,0.5602156135066123,1,RandomForest,2023
5,91,0.46153846153846156,0.0013262785396271858,-0.0072725893303529,0.5417856691846756,0.5508231180103514,1,RandomForest,2023
6,90,0.4,0.010769675873205733,-0.025193937315360952,0.5334446291032311,0.5416189687749101,1,RandomForest,2023
7,91,0.3626373626373626,-0.017473396186235286,-0.0238474376166044,0.5220057168376144,0.5333805391835219,1,RandomForest,2023
8,90,0.4666666666666667,-0.0031205948771490803,-0.012133940255998,0.5086270342785992,0.5218780154673732,1,RandomForest,2023
9,91,0.2967032967032967,-0.016532241515420744,-0.040388773237594,0.48257270500873983,0.5084687636874714,1,RandomForest,2023
