feature_transformed,importance,fold,model
num__feat_stoch_k_minus_d_daily,0.01968296617269516,1,XGBoost
num__feat_senkou_a_minus_b_pct,0.02973313070833683,1,XGBoost
num__feat_regime_breadth_precio_sobre_kumo,0.03784435987472534,1,XGBoost
num__feat_regime_breadth_kumo_actual_alcista,0.0363801047205925,1,XGBoost
num__feat_regime_breadth_kumo_futuro_alcista,0.03553418815135956,1,XGBoost
num__feat_regime_breadth_ha2_bullish,0.019665371626615524,1,XGBoost
num__feat_regime_breadth_tenkan_sobre_kijun,0.032858993858098984,1,XGBoost
num__feat_regime_breadth_chikou_sobre_kumo,0.033415064215660095,1,XGBoost
num__feat_regime_breadth_entry_events,0.03471152484416962,1,XGBoost
num__feat_regime_market_ret_5d_mean,0.03200887143611908,1,XGBoost
num__feat_regime_market_ret_20d_mean,0.03670786693692207,1,XGBoost
num__feat_regime_market_vol_20d_mean,0.07646004110574722,1,XGBoost
num__feat_regime_market_volume_rel_mean,0.02470541186630726,1,XGBoost
cat__feat_entry_family_v4_kumo_actual_y_futuro_alcista_con_tk_cross,0.0,1,XGBoost
cat__feat_entry_family_v4_kumo_actual_y_futuro_alcista_sin_tk_confirmado,0.0,1,XGBoost
cat__feat_entry_family_v4_kumo_actual_y_futuro_alcista_tk_maduro,0.017239725217223167,1,XGBoost
cat__feat_tk_confirmation_status_no_tk_confirmation_yet,0.0,1,XGBoost
cat__feat_tk_confirmation_status_tk_cross_up_recent,0.0,1,XGBoost
cat__feat_tk_confirmation_status_tk_mature_above_kijun_no_recent_cross,0.0,1,XGBoost
cat__feat_chikou_diagnostic_status_chikou_libre_sobre_precio_y_kumo_22ago,0.0,1,XGBoost
cat__feat_chikou_diagnostic_status_chikou_no_confirmado_o_sin_historia,0.0,1,XGBoost
cat__feat_chikou_diagnostic_status_chikou_parcial_sobre_close_22ago,0.0,1,XGBoost
num__feat_technical_priority_score,0.0030129245225627667,2,RandomForest
num__feat_kumo_actual_thickness_pct_signal,0.01174908567611998,2,RandomForest
num__feat_volume_rel_signal,0.011646529478541168,2,RandomForest
num__feat_stoch_k_entry,0.014887962648160443,2,RandomForest
num__feat_stoch_d_entry,0.011858923218091016,2,RandomForest
num__feat_stoch_k_minus_d_entry,0.008579818466599474,2,RandomForest
num__feat_stoch_not_extreme_overbought,0.00016549024796626643,2,RandomForest
num__feat_tenkan_sobre_kijun,0.00024756327211593917,2,RandomForest
num__feat_tk_cross_up_today,0.0,2,RandomForest
num__feat_tk_cross_up_recent,0.0003441967878903197,2,RandomForest
num__feat_chikou_above_close_22ago,0.0027149909437307203,2,RandomForest
num__feat_chikou_above_high_22ago,8.234022994839693e-05,2,RandomForest
num__feat_chikou_above_kumo_22ago,0.0,2,RandomForest
num__feat_dollar_volume_ma20,0.016170287430729,2,RandomForest
num__feat_kumo_actual_thickness_abs,0.008488652166527774,2,RandomForest
num__feat_kumo_actual_thickness_pct_daily,0.01634880584851629,2,RandomForest
num__feat_volume_rel_daily,0.009603136940320394,2,RandomForest
num__feat_stoch_k_daily,0.016539354904319528,2,RandomForest
num__feat_stoch_d_daily,0.011680044422521086,2,RandomForest
num__feat_ret_5d_prior,0.01292984904907432,2,RandomForest
num__feat_ret_10d_prior,0.013281666807525058,2,RandomForest
num__feat_ret_20d_prior,0.01538037294553723,2,RandomForest
num__feat_volatility_20d_prior,0.02133865251384381,2,RandomForest
num__feat_dist_close_to_kijun_pct,0.02727451662192202,2,RandomForest
num__feat_dist_close_to_tenkan_pct,0.008258319816315918,2,RandomForest
num__feat_dist_close_to_kumo_top_pct,0.023271873501634163,2,RandomForest
num__feat_dist_close_to_kumo_bottom_pct,0.026037367062998643,2,RandomForest
num__feat_stoch_k_minus_d_daily,0.007209754240086788,2,RandomForest
num__feat_senkou_a_minus_b_pct,0.015184397836290598,2,RandomForest
num__feat_regime_breadth_precio_sobre_kumo,0.05042877301067121,2,RandomForest
num__feat_regime_breadth_kumo_actual_alcista,0.09588374778293202,2,RandomForest
num__feat_regime_breadth_kumo_futuro_alcista,0.05321129313200383,2,RandomForest
num__feat_regime_breadth_ha2_bullish,0.013795406713325482,2,RandomForest
num__feat_regime_breadth_tenkan_sobre_kijun,0.030911194449471328,2,RandomForest
num__feat_regime_breadth_chikou_sobre_kumo,0.07658682953716796,2,RandomForest
num__feat_regime_breadth_entry_events,0.037197388108484684,2,RandomForest
num__feat_regime_market_ret_5d_mean,0.04302277858912005,2,RandomForest
num__feat_regime_market_ret_20d_mean,0.03622838810317671,2,RandomForest
num__feat_regime_market_vol_20d_mean,0.2081029716089994,2,RandomForest
num__feat_regime_market_volume_rel_mean,0.034694889566231166,2,RandomForest
cat__feat_entry_family_v4_kumo_actual_y_futuro_alcista_con_tk_cross,0.0003316937674587991,2,RandomForest
cat__feat_entry_family_v4_kumo_actual_y_futuro_alcista_sin_tk_confirmado,0.0,2,RandomForest
cat__feat_entry_family_v4_kumo_actual_y_futuro_alcista_tk_maduro,0.0009160174725402221,2,RandomForest
cat__feat_tk_confirmation_status_no_tk_confirmation_yet,0.00015152992420829046,2,RandomForest
cat__feat_tk_confirmation_status_tk_cross_up_recent,6.63250749574324e-05,2,RandomForest
cat__feat_tk_confirmation_status_tk_mature_above_kijun_no_recent_cross,0.001151611801179637,2,RandomForest
cat__feat_chikou_diagnostic_status_chikou_libre_sobre_precio_y_kumo_22ago,0.0005173341315926757,2,RandomForest
cat__feat_chikou_diagnostic_status_chikou_no_confirmado_o_sin_historia,0.0024241262033345818,2,RandomForest
cat__feat_chikou_diagnostic_status_chikou_parcial_sobre_close_22ago,9.082342325520089e-05,2,RandomForest
num__feat_technical_priority_score,0.02130541391670704,2,XGBoost
num__feat_kumo_actual_thickness_pct_signal,0.016822146251797676,2,XGBoost
num__feat_volume_rel_signal,0.020846351981163025,2,XGBoost
num__feat_stoch_k_entry,0.027467790991067886,2,XGBoost
num__feat_stoch_d_entry,0.022075826302170753,2,XGBoost
num__feat_stoch_k_minus_d_entry,0.015507043339312077,2,XGBoost
num__feat_stoch_not_extreme_overbought,0.0,2,XGBoost
num__feat_tenkan_sobre_kijun,0.016793251037597656,2,XGBoost
num__feat_tk_cross_up_today,0.0,2,XGBoost
num__feat_tk_cross_up_recent,0.0309732835739851,2,XGBoost
