strategy,strategy_type,selected_by_model,test_year,n_signals,success_rate,mean_return,median_return,sum_return_signal_level
XGBoost_THRESHOLD_OPT_F1,threshold_optimized_f1,XGBoost,2024,1429,0.5808257522743177,0.029428245470887814,0.0165764175856351,42.052962777898685
XGBoost_THRESHOLD_OPT_F1,threshold_optimized_f1,XGBoost,2025,923,0.49079089924160346,0.026696348058868207,-0.0026435986570159,24.640729258335355
XGBoost_TOP_10,ranking_top_fraction,XGBoost,2023,91,0.4725274725274725,0.0167018365995915,-0.0174736759776157,1.5198671305628264
XGBoost_TOP_10,ranking_top_fraction,XGBoost,2024,143,0.6923076923076923,0.05646623159291154,0.0336511330348396,8.07467111778635
XGBoost_TOP_10,ranking_top_fraction,XGBoost,2025,93,0.6129032258064516,0.07277434378984078,0.0150388971556409,6.768013972455193
XGBoost_TOP_20,ranking_top_fraction,XGBoost,2023,182,0.46703296703296704,0.015049430502039447,-0.0087763293858856,2.7389963513711795
XGBoost_TOP_20,ranking_top_fraction,XGBoost,2024,286,0.6013986013986014,0.04312167647846398,0.022241222489880398,12.332799472840698
XGBoost_TOP_20,ranking_top_fraction,XGBoost,2025,185,0.5459459459459459,0.0440286552828035,0.0099786336903355,8.145301227318647
XGBoost_TOP_30,ranking_top_fraction,XGBoost,2023,273,0.47619047619047616,0.015286965534967457,-0.0048368732946765,4.173341591046116
XGBoost_TOP_30,ranking_top_fraction,XGBoost,2024,429,0.6083916083916084,0.03691009000296474,0.0226651757849639,15.834428611271873
XGBoost_TOP_30,ranking_top_fraction,XGBoost,2025,278,0.5539568345323741,0.04109470299236387,0.010708193858762101,11.424327431877156
