test_year,BASELINE_TECNICO_ALL,LogisticRegression_TOP_10,RandomForest_THRESHOLD_0_50,RandomForest_TOP_10,RandomForest_TOP_20,RandomForest_TOP_30,XGBoost_THRESHOLD_0_50,XGBoost_TOP_10,XGBoost_TOP_20,XGBoost_TOP_30
2023,0.008370303518951546,-0.011782700782898198,0.012321184683758628,0.05705076995382483,0.04053247710035599,0.03146492201185559,0.012717151958960057,0.0167018365995915,0.015049430502039447,0.015286965534967457
2024,0.029428245470887814,0.039644160308847966,0.03747328815917749,0.044571913413258946,0.045604995919371956,0.04290389348018266,0.037927071514921674,0.05646623159291154,0.04312167647846398,0.03691009000296474
2025,0.026837953529961774,0.12093818002975013,0.042414662857090814,0.11007524448684494,0.07864906031185086,0.07594410579636714,0.03232719844568445,0.07277434378984078,0.0440286552828035,0.04109470299236387
