strategy,selected_signals,entered_trades,skipped_signals,initial_capital,final_capital,total_return,cagr_approx,max_drawdown_event,win_rate_trades,mean_trade_return,median_trade_return,profit_factor,avg_allocation,avg_holding_days,period_start,period_end
BASELINE_TECNICO_ALL,3260,332,2928,200000.0,255653.87595768177,0.2782693797884088,0.08550097103145271,-0.09313068008287018,0.4819277108433735,0.017459388621145145,-0.0023628202060842,1.476248157079102,10412.700897780729,63.984939759036145,2023-01-03,2025-12-31
RandomForest_TOP_10,327,108,219,200000.0,278036.885375999,0.3901844268799948,0.11913941607727208,-0.04525441969007582,0.5925925925925926,0.06725058126452398,0.027802349021407102,3.2057539389220397,10781.172131817233,77.64814814814815,2023-01-27,2025-12-31
RandomForest_TOP_20,653,194,459,200000.0,305949.5507236854,0.5297477536184272,0.15279284844262264,-0.07437711717846085,0.5463917525773195,0.04809926012530057,0.01730394647453735,2.642002898382028,11008.921846454647,73.73711340206185,2023-01-04,2025-12-31
RandomForest_TOP_30,980,218,762,200000.0,395127.3009227718,0.9756365046138591,0.2557624904266804,-0.03178137941360093,0.6192660550458715,0.0695302791466622,0.0321973256396818,3.7372283631791436,12522.154918274637,76.53211009174312,2023-01-04,2025-12-31
XGBoost_TOP_10,327,158,169,200000.0,301825.8501791019,0.5091292508955096,0.1475723221177887,-0.07687318990766023,0.5886075949367089,0.056914725440089374,0.0268199924014411,3.2517474571759224,10879.220047191622,74.46835443037975,2023-01-04,2025-12-31
XGBoost_TOP_20,653,214,439,200000.0,317029.02970345726,0.5851451485172863,0.1665911980998187,-0.07969992526989933,0.5841121495327103,0.047557190730183725,0.020212309689139098,2.7725145677965526,11052.506587120037,72.46261682242991,2023-01-04,2025-12-31
XGBoost_TOP_30,980,245,735,200000.0,326207.87262303045,0.6310393631151523,0.17778138624005813,-0.05876448473482465,0.5836734693877551,0.04390478830440167,0.0209947723560306,2.661891574521589,11368.724855863446,72.2734693877551,2023-01-04,2025-12-31
LogisticRegression_TOP_10,327,196,131,200000.0,301164.37448287045,0.5058218724143522,0.14673049657302295,-0.07679641170212126,0.5255102040816326,0.04758329446550722,0.0114341167016547,2.5272049480663843,10248.462938981967,73.52551020408163,2023-01-04,2025-12-31
RandomForest_THRESHOLD_0_50,2350,301,2049,200000.0,287878.2983660996,0.43939149183049797,0.1294290926040631,-0.09494451112245239,0.5116279069767442,0.02765572203575334,0.002621187989038,1.7406292971068371,10786.89162493152,68.82724252491694,2023-01-03,2025-12-31
XGBoost_THRESHOLD_0_50,1836,273,1563,200000.0,344518.56152760703,0.7225928076380352,0.19949349965584728,-0.05758083580786044,0.5677655677655677,0.04443672047209473,0.0166974833022367,2.6994369746304567,11804.716035011845,71.8058608058608,2023-01-04,2025-12-31
LogisticRegression_THRESHOLD_0_50,1613,306,1307,200000.0,239429.45133700423,0.1971472566850212,0.06203455194573171,-0.08442904299428355,0.49019607843137253,0.013153567639762984,-0.00316377079962235,1.3482831642077548,9971.081773438913,66.18627450980392,2023-01-04,2025-12-31
RandomForest_THRESHOLD_OPT_F1,3244,313,2931,200000.0,313191.08385521115,0.5659554192760559,0.16168884844662834,-0.09562890032819016,0.5047923322683706,0.03272464693838052,0.0014070036495453,1.965917900989092,11103.408285269687,67.97444089456869,2023-01-03,2025-12-31
XGBoost_THRESHOLD_OPT_F1,3254,317,2937,200000.0,282881.7440247163,0.41440872012358154,0.12284012650066933,-0.1246204670258968,0.5205047318611987,0.025068902560644826,0.0057078080270115,1.7825419427469995,10224.463130963115,67.08201892744479,2023-01-03,2025-12-31
LogisticRegression_THRESHOLD_OPT_F1,2609,297,2312,200000.0,266067.5148156469,0.3303375740782346,0.10017688707418237,-0.0588925941347197,0.5252525252525253,0.02190309512532247,0.0044127479474734,1.6371018085976436,10572.70451687078,68.6969696969697,2023-01-04,2025-12-31
